Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1170,1nF,C_0603_1608Metric,59.027897,113.057355,0.0,top
C1171,1.5nF,C_0603_1608Metric,71.144297,113.057355,0.0,top
C1172,2.2nF,C_0603_1608Metric,83.310297,113.057355,0.0,top
C1173,2.7nF,C_0603_1608Metric,95.451497,113.057355,0.0,top
C1174,3.3nF,C_0603_1608Metric,22.540497,103.924955,0.0,top
C1175,4.7nF,C_0603_1608Metric,34.593097,103.924955,0.0,top
C1176,6.8nF,C_0603_1608Metric,46.683497,103.924955,0.0,top
C1177,8.2nF,C_0603_1608Metric,58.723097,103.924955,0.0,top
C1178,10nF,C_0603_1608Metric,70.762697,103.924955,0.0,top
C1179,15nF,C_0603_1608Metric,82.802297,103.924955,0.0,top
C1180,22nF,C_0603_1608Metric,94.892697,103.924955,0.0,top
C1181,33nF,C_0603_1608Metric,22.528097,94.907955,0.0,top
C1182,47nF,C_0603_1608Metric,34.593097,94.911955,0.0,top
C1183,68nF,C_0603_1608Metric,46.658097,94.911955,0.0,top
C1184,100nF,C_0603_1608Metric,58.723097,94.911955,0.0,top
C1185,220nF,C_0603_1608Metric,70.661097,94.911955,0.0,top
C1186,330nF,C_0603_1608Metric,82.827097,94.907955,0.0,top
C1187,470nF,C_0603_1608Metric,94.791097,94.907955,0.0,top
C1188,1uF,C_0603_1608Metric,22.502097,85.814755,0.0,top
C1189,2.2uF,C_0603_1608Metric,34.580097,85.814755,0.0,top
C1190,4.7uF,C_0603_1608Metric,46.658097,85.814755,0.0,top
C1191,10uF,C_0603_1608Metric,58.723097,85.814755,0.0,top
C1192,10uF,C_0603_1608Metric,70.788097,85.814755,0.0,top
C1193,22uF,C_0603_1608Metric,82.853097,85.814755,0.0,top
C1194,1nF,C_0603_1608Metric,59.027897,111.593355,0.0,top
C1195,1.5nF,C_0603_1608Metric,71.144297,111.593355,0.0,top
C1196,2.2nF,C_0603_1608Metric,83.310297,111.593355,0.0,top
C1197,2.7nF,C_0603_1608Metric,95.451497,111.593355,0.0,top
C1198,3.3nF,C_0603_1608Metric,22.540497,102.451755,0.0,top
C1199,4.7nF,C_0603_1608Metric,34.593097,102.451755,0.0,top
C1200,6.8nF,C_0603_1608Metric,46.683497,102.451755,0.0,top
C1201,8.2nF,C_0603_1608Metric,58.723097,102.451755,0.0,top
C1202,10nF,C_0603_1608Metric,70.762697,102.451755,0.0,top
C1203,15nF,C_0603_1608Metric,82.802297,102.451755,0.0,top
C1204,22nF,C_0603_1608Metric,94.892697,102.451755,0.0,top
C1205,33nF,C_0603_1608Metric,22.528097,93.434755,0.0,top
C1206,47nF,C_0603_1608Metric,34.593097,93.438755,0.0,top
C1207,68nF,C_0603_1608Metric,46.658097,93.438755,0.0,top
C1208,100nF,C_0603_1608Metric,58.723097,93.438755,0.0,top
C1209,220nF,C_0603_1608Metric,70.661097,93.438755,0.0,top
C1210,330nF,C_0603_1608Metric,82.827097,93.434755,0.0,top
C1211,470nF,C_0603_1608Metric,94.791097,93.434755,0.0,top
C1212,1uF,C_0603_1608Metric,22.502097,84.341555,0.0,top
C1213,2.2uF,C_0603_1608Metric,34.580097,84.341555,0.0,top
C1214,4.7uF,C_0603_1608Metric,46.658097,84.341555,0.0,top
C1215,10uF,C_0603_1608Metric,58.723097,84.341555,0.0,top
C1216,10uF,C_0603_1608Metric,70.788097,84.341555,0.0,top
C1217,22uF,C_0603_1608Metric,82.853097,84.341555,0.0,top
C1218,1nF,C_0603_1608Metric,59.027897,110.110955,0.0,top
C1219,1.5nF,C_0603_1608Metric,71.144297,110.110955,0.0,top
C1220,2.2nF,C_0603_1608Metric,83.310297,110.110955,0.0,top
C1221,2.7nF,C_0603_1608Metric,95.451497,110.110955,0.0,top
C1222,3.3nF,C_0603_1608Metric,22.540497,100.978555,0.0,top
C1223,4.7nF,C_0603_1608Metric,34.593097,100.978555,0.0,top
C1224,6.8nF,C_0603_1608Metric,46.683497,100.978555,0.0,top
C1225,8.2nF,C_0603_1608Metric,58.723097,100.978555,0.0,top
C1226,10nF,C_0603_1608Metric,70.762697,100.978555,0.0,top
C1227,15nF,C_0603_1608Metric,82.802297,100.978555,0.0,top
C1228,22nF,C_0603_1608Metric,94.892697,100.978555,0.0,top
C1229,33nF,C_0603_1608Metric,22.528097,91.961555,0.0,top
C1230,47nF,C_0603_1608Metric,34.593097,91.965555,0.0,top
C1231,68nF,C_0603_1608Metric,46.658097,91.965555,0.0,top
C1232,100nF,C_0603_1608Metric,58.723097,91.965555,0.0,top
C1233,220nF,C_0603_1608Metric,70.661097,91.965555,0.0,top
C1234,330nF,C_0603_1608Metric,82.827097,91.961555,0.0,top
C1235,470nF,C_0603_1608Metric,94.791097,91.961555,0.0,top
C1236,1uF,C_0603_1608Metric,22.502097,82.868355,0.0,top
C1237,2.2uF,C_0603_1608Metric,34.580097,82.868355,0.0,top
C1238,4.7uF,C_0603_1608Metric,46.658097,82.868355,0.0,top
C1239,10uF,C_0603_1608Metric,58.723097,82.868355,0.0,top
C1240,10uF,C_0603_1608Metric,70.788097,82.868355,0.0,top
C1241,22uF,C_0603_1608Metric,82.853097,82.868355,0.0,top
C1242,1nF,C_0603_1608Metric,59.027897,108.637755,0.0,top
C1243,1.5nF,C_0603_1608Metric,71.144297,108.637755,0.0,top
C1244,2.2nF,C_0603_1608Metric,83.310297,108.637755,0.0,top
C1245,2.7nF,C_0603_1608Metric,95.451497,108.637755,0.0,top
C1246,3.3nF,C_0603_1608Metric,22.540497,99.505355,0.0,top
C1247,4.7nF,C_0603_1608Metric,34.593097,99.505355,0.0,top
C1248,6.8nF,C_0603_1608Metric,46.683497,99.505355,0.0,top
C1249,8.2nF,C_0603_1608Metric,58.723097,99.505355,0.0,top
C1250,10nF,C_0603_1608Metric,70.762697,99.505355,0.0,top
C1251,15nF,C_0603_1608Metric,82.802297,99.505355,0.0,top
C1252,22nF,C_0603_1608Metric,94.892697,99.505355,0.0,top
C1253,33nF,C_0603_1608Metric,22.528097,90.488355,0.0,top
C1254,47nF,C_0603_1608Metric,34.593097,90.492355,0.0,top
C1255,68nF,C_0603_1608Metric,46.658097,90.492355,0.0,top
C1256,100nF,C_0603_1608Metric,58.723097,90.492355,0.0,top
C1257,220nF,C_0603_1608Metric,70.661097,90.492355,0.0,top
C1258,330nF,C_0603_1608Metric,82.827097,90.488355,0.0,top
C1259,470nF,C_0603_1608Metric,94.791097,90.488355,0.0,top
